timestamp,protocol,dyn_threshold,byte_count,exceed_count,exceed_duration,exceed_duration_count
2025-05-12 12:29:52,SYN,470397,0,0,0,0
2025-05-12 12:29:53,ICMP,63539,882,0,0,0
2025-05-12 12:29:53,UDP,72190,3078,0,0,0
2025-05-12 12:29:53,SYN,468045,0,0,0,0
2025-05-12 12:29:54,ICMP,63539,882,0,0,0
2025-05-12 12:29:54,UDP,72190,3078,0,0,0
2025-05-12 12:29:54,SYN,468045,0,0,0,0
2025-05-12 12:29:55,ICMP,63539,882,0,0,0
2025-05-12 12:29:55,UDP,72190,3078,0,0,0
2025-05-12 12:29:55,SYN,465705,74,0,0,0
2025-05-12 12:29:56,ICMP,63539,882,0,0,0
2025-05-12 12:29:56,UDP,72190,3078,0,0,0
2025-05-12 12:29:56,SYN,463377,0,0,0,0
2025-05-12 12:29:57,ICMP,63226,490,0,0,0
2025-05-12 12:29:57,UDP,72190,3078,0,0,0
2025-05-12 12:29:57,SYN,463377,0,0,0,0
2025-05-12 12:29:58,ICMP,63226,882,0,0,0
2025-05-12 12:29:58,UDP,72190,3078,0,0,0
2025-05-12 12:29:58,SYN,461060,3848,0,0,0
2025-05-12 12:29:59,ICMP,63226,882,0,0,0
2025-05-12 12:29:59,UDP,71845,3078,0,0,0
2025-05-12 12:29:59,SYN,461060,3848,0,0,0
2025-05-12 12:30:00,ICMP,63226,882,0,0,0
2025-05-12 12:30:00,UDP,71845,3078,0,0,0
2025-05-12 12:30:00,SYN,461060,3848,0,0,0
2025-05-12 12:30:01,ICMP,63226,882,0,0,0
2025-05-12 12:30:01,UDP,71501,3078,0,0,0
2025-05-12 12:30:01,SYN,458774,11322,0,0,0
2025-05-12 12:30:02,ICMP,63226,882,0,0,0
2025-05-12 12:30:02,UDP,71501,3078,0,0,0
2025-05-12 12:30:02,SYN,458774,11322,0,0,0
2025-05-12 12:30:03,ICMP,63226,882,0,0,0
2025-05-12 12:30:03,UDP,71501,3078,0,0,0
2025-05-12 12:30:03,SYN,456537,0,0,0,0
2025-05-12 12:30:04,ICMP,62914,882,0,0,0
2025-05-12 12:30:04,UDP,71501,3078,0,0,0
2025-05-12 12:30:04,SYN,454255,0,0,0,0
2025-05-12 12:30:05,ICMP,62914,882,0,0,0
2025-05-12 12:30:05,UDP,71501,3078,0,0,0
2025-05-12 12:30:05,SYN,454255,0,0,0,0
2025-05-12 12:30:06,ICMP,62914,882,0,0,0
2025-05-12 12:30:06,UDP,71501,3078,0,0,0
2025-05-12 12:30:06,SYN,451984,0,0,0,0
2025-05-12 12:30:07,ICMP,62914,882,0,0,0
2025-05-12 12:30:07,UDP,71501,3078,0,0,0
2025-05-12 12:30:07,SYN,451984,148,0,0,0
2025-05-12 12:30:08,ICMP,62914,882,0,0,0
2025-05-12 12:30:08,UDP,71501,3078,0,0,0
2025-05-12 12:30:08,SYN,449725,3700,0,0,0
2025-05-12 12:30:09,ICMP,62914,882,0,0,0
2025-05-12 12:30:09,UDP,71501,3078,0,0,0
2025-05-12 12:30:09,SYN,447495,0,0,0,0
2025-05-12 12:30:10,ICMP,62914,882,0,0,0
2025-05-12 12:30:10,UDP,71159,648,0,0,0
2025-05-12 12:30:10,SYN,447495,74,0,0,0
2025-05-12 12:30:11,ICMP,62914,882,0,0,0
2025-05-12 12:30:11,UDP,71159,3078,0,0,0
2025-05-12 12:30:11,SYN,445258,11248,0,0,0
2025-05-12 12:30:12,ICMP,62914,882,0,0,0
2025-05-12 12:30:12,UDP,71159,3078,0,0,0
2025-05-12 12:30:12,SYN,445258,11322,0,0,0
2025-05-12 12:30:13,ICMP,62604,882,0,0,0
2025-05-12 12:30:13,UDP,71159,3078,0,0,0
2025-05-12 12:30:13,SYN,443088,0,0,0,0
2025-05-12 12:30:14,ICMP,62295,588,0,0,0
2025-05-12 12:30:14,UDP,71159,3078,0,0,0
2025-05-12 12:30:14,SYN,443088,0,0,0,0
2025-05-12 12:30:15,ICMP,62295,882,0,0,0
2025-05-12 12:30:15,UDP,71159,3078,0,0,0
2025-05-12 12:30:15,SYN,443088,0,0,0,0
2025-05-12 12:30:16,ICMP,62295,882,0,0,0
2025-05-12 12:30:16,UDP,70819,3078,0,0,0
2025-05-12 12:30:16,SYN,440872,0,0,0,0
2025-05-12 12:30:17,ICMP,61988,98,0,0,0
2025-05-12 12:30:17,UDP,70819,3078,0,0,0
2025-05-12 12:30:17,SYN,440872,0,0,0,0
2025-05-12 12:30:18,ICMP,61988,882,0,0,0
2025-05-12 12:30:18,UDP,70819,3078,0,0,0
2025-05-12 12:30:18,SYN,438668,3626,0,0,0
2025-05-12 12:30:19,ICMP,61988,882,0,0,0
2025-05-12 12:30:19,UDP,70819,3078,0,0,0
2025-05-12 12:30:19,SYN,436493,0,0,0,0
2025-05-12 12:30:20,ICMP,61988,882,0,0,0
2025-05-12 12:30:20,UDP,70819,3078,0,0,0
2025-05-12 12:30:20,SYN,434310,74,0,0,0
2025-05-12 12:30:21,ICMP,61988,882,0,0,0
2025-05-12 12:30:21,UDP,70819,3078,0,0,0
2025-05-12 12:30:21,SYN,432176,3626,0,0,0
2025-05-12 12:30:22,ICMP,61988,882,0,0,0
2025-05-12 12:30:22,UDP,70819,3078,0,0,0
2025-05-12 12:30:22,SYN,432176,3774,0,0,0
2025-05-12 12:30:23,ICMP,61682,98,0,0,0
2025-05-12 12:30:23,UDP,70481,3078,0,0,0
2025-05-12 12:30:23,SYN,430034,890940,0,0,0
2025-05-12 12:30:24,ICMP,61374,98,0,0,0
2025-05-12 12:30:24,UDP,70481,3078,0,0,0
2025-05-12 12:30:24,SYN,512000,892500,0,1,0
2025-05-12 12:30:25,ICMP,61068,98,0,0,0
2025-05-12 12:30:25,UDP,70481,3078,0,0,0
2025-05-12 12:30:25,SYN,512000,888988,0,2,0
2025-05-12 12:30:26,ICMP,60763,98,0,0,0
2025-05-12 12:30:26,UDP,70481,3078,0,0,0
2025-05-12 12:30:26,SYN,512000,889800,0,3,0
2025-05-12 12:30:27,ICMP,60460,490,0,0,0
2025-05-12 12:30:27,UDP,70481,3078,0,0,0
2025-05-12 12:30:27,SYN,512000,885780,0,4,0
2025-05-12 12:30:28,ICMP,60162,392,0,0,0
2025-05-12 12:30:28,UDP,70481,3078,0,0,0
2025-05-12 12:30:28,SYN,512000,885848,0,0,1
2025-05-12 12:30:29,ICMP,59863,196,0,0,0
2025-05-12 12:30:29,UDP,70481,3078,0,0,0
2025-05-12 12:30:29,SYN,512000,883080,0,1,1
2025-05-12 12:30:30,ICMP,59566,686,0,0,0
2025-05-12 12:30:30,UDP,70144,163,0,0,0
2025-05-12 12:30:30,SYN,512000,912960,0,2,1
2025-05-12 12:30:31,ICMP,59272,98,0,0,0
2025-05-12 12:30:31,UDP,70144,163,0,0,0
2025-05-12 12:30:31,SYN,512000,906070,0,3,1
2025-05-12 12:30:32,ICMP,58976,98,0,0,0
2025-05-12 12:30:32,UDP,70144,163,0,0,0
2025-05-12 12:30:32,SYN,512000,890400,0,4,1
2025-05-12 12:30:33,ICMP,58682,98,0,0,0
2025-05-12 12:30:33,UDP,69794,3078,0,0,0
2025-05-12 12:30:33,SYN,512000,897720,0,0,2
2025-05-12 12:30:34,ICMP,58389,98,0,0,0
2025-05-12 12:30:34,UDP,69794,3078,0,0,0
2025-05-12 12:30:34,SYN,512000,904588,0,1,2
2025-05-12 12:30:35,ICMP,58098,98,0,0,0
2025-05-12 12:30:35,UDP,69461,3078,0,0,0
2025-05-12 12:30:35,SYN,512000,893580,0,2,2
2025-05-12 12:30:36,ICMP,57808,98,0,0,0
2025-05-12 12:30:36,UDP,69461,3078,0,0,0
2025-05-12 12:30:36,SYN,512000,896954,0,3,2
2025-05-12 12:30:37,ICMP,57519,98,0,0,0
2025-05-12 12:30:37,UDP,69461,3078,0,0,0
2025-05-12 12:30:37,SYN,512000,904994,0,4,2
2025-05-12 12:30:38,ICMP,57234,294,0,0,0
2025-05-12 12:30:38,UDP,69461,3078,0,0,0
2025-05-12 12:30:38,SYN,512000,3700,0,1,0
2025-05-12 12:30:39,ICMP,57234,392,0,0,0
2025-05-12 12:30:39,UDP,69461,3078,0,0,0
2025-05-12 12:30:39,SYN,509458,0,0,0,0
2025-05-12 12:30:40,ICMP,57234,392,0,0,0
2025-05-12 12:30:40,UDP,69129,2430,0,0,0
2025-05-12 12:30:40,SYN,509458,74,0,0,0
2025-05-12 12:30:41,ICMP,56950,196,0,0,0
2025-05-12 12:30:41,UDP,69129,3078,0,0,0
2025-05-12 12:30:41,SYN,506911,9916,0,0,0
2025-05-12 12:30:42,ICMP,56950,882,0,0,0
